id,serial_no,name,nirf_rank,founded,address,city,state,latitude,longitude,has_coordinates,source,doctor_info_available,score,notes
nirf-med-001,1,"All India Institute of Medical Sciences, Delhi",1,1956,"Sri Aurobindo Marg, Ansari Nagar East, New Delhi, Delhi 110029, India",Delhi,Delhi,28.565,77.21,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-002,2,Post Graduate Institute of Medical Education and Research,2,1962,"Sector-12, Chandigarh, PIN- 160012, India",Chandigarh,Chandigarh,30.76,76.78,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-003,3,Christian Medical College,3,1900,"Ida Scudder Road, Vellore – 632004, Tamil Nadu, India",Vellore,Tamil Nadu,12.925,79.1362,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-004,4,National Institute of Mental Health & Neuro Sciences,4,1974,"No. 29, Hosur Road (Hosur Rd) / Marigowda Road (Lakkasandra, Wilson Garden), Bengaluru – 560 029,",Bengaluru,Karnataka,12.9371,77.5926,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-005,5,Jawaharlal Institute of Post Graduate Medical Education & Research,5,1823,"JIPMER Campus Road, Gorimedu, Dhanvantari Nagar, Puducherry – 605006, India",Puducherry,Puducherry,11.9528,79.7923,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-006,6,Amrita Vishwa Vidyapeetham,6,2003,"Ettimadai Campus,Ettimadai (Post), Coimbatore – 641112",Coimbatore,Tamil Nadu,10.902,76.9005,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-007,7,Sanjay Gandhi Postgraduate Institute of Medical Sciences,7,1983,"Raebareli (Rai Bareli) Road, Lucknow — 226014",Raebarelli,Uttar Pradesh,26.7463,80.936,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-008,8,Banaras Hindu University,8,1916,"Varanasi – 221005, Uttar Pradesh, India",Varanasi,Uttar Pradesh,25.2679,82.9905,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-009,9,"Kasturba Medical College, Manipal",9,1953,"Manipal Campus, Udupi District,Karnataka – 576 104, India.",Manipal,Karnataka,12.868,74.84,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-010,10,Sree Chitra Tirunal Institute for Medical Sciences and Technology,10,1976,"Thiruvananthapuram – 695011, Kerala, India",Thiruvananthapuram,Kerala,8.5212,76.9261,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-011,11,Madras Medical College & Government General Hospital,11,1835,"EVR Periyar Salai, Park Town, Chennai-600003",Chennai,Tamil Nadu,13.052436,80.250803,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-012,12,King George's Medical University,12,1911,"Lucknow, Uttar Pradesh, India",Lucknow,Uttar Pradesh,26.8676,80.9165,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-013,13,All India Institute of Medical Sciences Jodhpur,13,2014,"Basni Phase II, Jodhpur – 342005, Rajasthan, India",Jodhpur,Rajasthan,26.239,73.0074,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-014,14,Vardhman Mahavir Medical College & Safdarjung Hospital,14,2001,"H693+H6W, NH-48, near AIIMS Hospital, Ansari Nagar West, New Delhi 110029",New Delhi,Delhi,28.569,77.2031,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-015,15,Dr. D. Y. Patil Vidyapeeth,15,1996,"Pimpri, Pune, Maharashtra, India",Pune,Maharashtra,18.6246,73.8222,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-016,16,Siksha 'O' Anusandhan,16,1996,"Bhubaneswar, Odisha, India",Bhubaneswar,Odisha,20.259,85.792,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-017,17,All India Institute of Medical Sciences Bhubaneswar,17,2012,"AIIMS Road, Sijua, Patrapada, Bhubaneswar – 751019, Odisha, India.",Khordha,Odisha,20.2318,85.775,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-018,18,Saveetha Institute of Medical and Technical Sciences,18,1986,"Thandalam, Chennai, Tamil Nadu, India.",Chennai,Tamil Nadu,13.0283,80.0158,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-019,19,St. John's Medical College,19,1963,"Sarjapur Road, Bangalore – 560034, Karnataka, India.",Bengaluru,Karnataka,12.9309,77.6197,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-020,20,S.R.M. Institute of Science and Technology,20,1985,"Kattankulathur, Chengalpattu District, Tamil Nadu 603203, India.",Chennai,Tamil Nadu,12.823,80.0444,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
nirf-med-021,21,Sri Ramachandra Institute of Higher Education and Research,21,1985,"No. 1, Ramachandra Nagar, Porur, Chennai – 600116, Tamil Nadu, India.",Chennai,Tamil Nadu,13.0407,80.1429,True,NIRF 2025 Medical Category,False,,Doctor-level information is not included in the NIRF 2025 dataset.
